name,language,stars,forks,size,last_pushed
shlomiassaf/angular2-modal,TypeScript,522,224,18175,2017-06-23T08:04:44Z
rhysd/Shiba,TypeScript,520,18,6590,2016-12-02T02:57:22Z
urish/angular2-moment,TypeScript,517,82,140,2017-06-18T12:09:33Z
OmniSharp/omnisharp-vscode,TypeScript,504,154,1563,2017-06-16T21:23:37Z
MarkPieszak/aspnetcore-angular2-universal,TypeScript,503,191,5404,2017-06-22T01:17:50Z
gamestdio/colyseus,TypeScript,497,44,3671,2017-06-23T14:16:57Z
angular/angular-electron,TypeScript,490,105,73,2017-04-14T09:55:32Z
googledatalab/datalab,TypeScript,487,118,198512,2017-06-23T22:56:52Z
BlokDust/BlokDust,TypeScript,487,27,13664,2016-10-03T13:32:32Z
crisbeto/angular-svg-round-progressbar,TypeScript,484,121,2392,2017-04-10T17:51:18Z
vladotesanovic/angular2-express-starter,TypeScript,483,226,4572,2017-06-18T13:59:47Z
ng-lightning/ng-lightning,TypeScript,482,71,42309,2017-06-17T08:26:49Z
Versent/redux-crud,TypeScript,481,41,512,2017-05-28T04:08:08Z
Polymer/web-component-tester,TypeScript,472,138,5924,2017-06-23T06:39:34Z
akveo/ng2-smart-table,TypeScript,469,203,57190,2017-06-23T13:11:51Z
reactive-react/xreact,TypeScript,464,24,8848,2017-06-23T14:25:52Z
DavideViolante/Angular-Full-Stack,TypeScript,458,192,4050,2017-06-13T15:16:20Z
michaelbromley/ngx-pagination,TypeScript,454,103,13762,2017-06-22T08:08:49Z
basarat/typescript-collections,TypeScript,452,88,3451,2017-06-13T13:43:55Z
jaysoo/todomvc-redux-react-typescript,TypeScript,450,110,4820,2017-03-23T15:07:30Z
salsita/prism,TypeScript,450,22,2353,2017-05-30T09:53:42Z
firebase/bolt,TypeScript,445,55,4213,2017-02-22T18:48:43Z
radiosilence/xr,TypeScript,442,31,164,2017-04-21T16:56:53Z
Semantic-Org/Semantic-UI-Angular,TypeScript,442,105,1269,2016-12-27T13:05:09Z
valor-software/ng2-select,TypeScript,441,378,11614,2017-06-14T12:34:01Z
flauc/angular2-notifications,TypeScript,433,102,1274,2017-06-09T12:32:06Z
ngUpgraders/ng-forward,TypeScript,431,50,751,2016-09-10T23:40:59Z
apollographql/graphql-anywhere,TypeScript,431,24,355,2017-06-23T18:40:27Z
